Timestamp,Cycle,Countdown Type,Delta 1,Delta 2,Delta 3,Delta 4,Delta 5,Delta 6,Delta 7,Delta 8,Theta 1,Theta 2,Theta 3,Theta 4,Theta 5,Theta 6,Theta 7,Theta 8,Alpha 1,Alpha 2,Alpha 3,Alpha 4,Alpha 5,Alpha 6,Alpha 7,Alpha 8,Beta 1,Beta 2,Beta 3,Beta 4,Beta 5,Beta 6,Beta 7,Beta 8,Gamma 1,Gamma 2,Gamma 3,Gamma 4,Gamma 5,Gamma 6,Gamma 7,Gamma 8
1970-01-03 13:34:26.887534,1,First Countdown,0.1872691810131073,0.17005330324172974,0.15322564542293549,0.212453231215477,0.2054937332868576,0.2041892409324646,0.14928553998470306,0.15136782824993134,0.8332529664039612,0.8346049189567566,0.3152778148651123,0.6537150740623474,0.53309166431427,0.34332236647605896,0.5199657082557678,0.5303594470024109,1.8782039880752563,1.012569546699524,0.5762220025062561,0.9233641624450684,1.0822978019714355,0.42792758345603943,0.7883626222610474,0.8008373975753784,3.472541093826294,3.0535688400268555,2.2791242599487305,3.470177173614502,3.8803791999816895,2.864858627319336,2.5131144523620605,2.4949400424957275,1.9003149271011353,3.073516368865967,4.325991630554199,3.057565450668335,1.6239062547683716,1.3854689598083496,1.7669765949249268,1.750529408454895
1970-01-03 13:34:26.897534,1,First Countdown,0.18454517424106598,0.16328339278697968,0.15218187868595123,0.21192757785320282,0.1944696307182312,0.2058544158935547,0.14244237542152405,0.14928553998470306,0.842266321182251,0.8222042918205261,0.33225613832473755,0.6284129619598389,0.524785041809082,0.35174882411956787,0.5172901153564453,0.5199657082557678,1.8456155061721802,0.9932118058204651,0.5744333267211914,0.9015879034996033,1.0627540349960327,0.40167829394340515,0.7694187164306641,0.7883626222610474,3.497361183166504,3.0956037044525146,2.306234121322632,3.4573707580566406,3.8952431678771973,2.898129940032959,2.5235207080841064,2.5131144523620605,1.8887306451797485,3.1003470420837402,4.329265117645264,3.0762083530426025,1.6175694465637207,1.410174012184143,1.777233600616455,1.7669765949249268
1970-01-03 13:34:26.907534,1,First Countdown,0.18382371962070465,0.15762217342853546,0.15187016129493713,0.21573255956172943,0.18651750683784485,0.2069210261106491,0.13681772351264954,0.14244237542152405,0.8449891805648804,0.8219192624092102,0.3303990662097931,0.600033700466156,0.5121826529502869,0.3590756356716156,0.5139944553375244,0.5172901153564453,1.8170793056488037,0.9818792939186096,0.5579533576965332,0.879764974117279,1.049401879310608,0.39615336060523987,0.7512578964233398,0.7694187164306641,3.517589807510376,3.1442692279815674,2.342686176300049,3.4496564865112305,3.9045298099517822,2.926502227783203,2.530113935470581,2.5235207080841064,1.8809657096862793,3.1334218978881836,4.355972766876221,3.0910067558288574,1.626753807067871,1.4326428174972534,1.7827513217926025,1.777233600616455
1970-01-03 13:34:26.917534,1,First Countdown,0.17952783405780792,0.16134093701839447,0.1571744829416275,0.20437711477279663,0.1849690079689026,0.2152254432439804,0.13555118441581726,0.13681772351264954,0.8327767252922058,0.8309985995292664,0.32343530654907227,0.5942778587341309,0.49533846974372864,0.35968053340911865,0.5064943432807922,0.5139944553375244,1.7907166481018066,0.9730859398841858,0.5373570322990417,0.8556973338127136,1.0402592420578003,0.39578190445899963,0.7346740365028381,0.7512578964233398,3.5233898162841797,3.193570375442505,2.38268780708313,3.4836585521698,3.911147117614746,2.9460201263427734,2.533517837524414,2.530113935470581,1.8881076574325562,3.159342050552368,4.413722515106201,3.1020023822784424,1.655099630355835,1.4568028450012207,1.7865558862686157,1.7827513217926025
1970-01-03 13:34:26.927534,1,First Countdown,0.20323625206947327,0.16194488108158112,0.167433962225914,0.19376005232334137,0.19424478709697723,0.2152935117483139,0.14161959290504456,0.13555118441581726,0.8099314570426941,0.8366451263427734,0.31694748997688293,0.5859898328781128,0.4743558168411255,0.3675905168056488,0.4958105981349945,0.5064943432807922,1.7564194202423096,0.9658382534980774,0.515208899974823,0.8350535035133362,1.0332722663879395,0.3935333490371704,0.7151590585708618,0.7346740365028381,3.5062570571899414,3.241313934326172,2.4123032093048096,3.5555052757263184,3.9206817150115967,2.9610555171966553,2.542520046234131,2.533517837524414,1.8925669193267822,3.184936761856079,4.467937469482422,3.1095635890960693,1.6827263832092285,1.4744027853012085,1.792306661605835,1.7865558862686157
1970-01-03 13:34:26.937534,1,First Countdown,0.22199109196662903,0.15799419581890106,0.17693917453289032,0.1914798766374588,0.2047366201877594,0.2099248468875885,0.15042859315872192,0.14161959290504456,0.7860172986984253,0.8366832137107849,0.30772456526756287,0.5751050114631653,0.4536723494529724,0.38041117787361145,0.4841192066669464,0.4958105981349945,1.7297569513320923,0.9663787484169006,0.4889887273311615,0.8237577080726624,1.0278393030166626,0.390892893075943,0.69557124376297,0.7151590585708618,3.487025022506714,3.292386531829834,2.426046371459961,3.629321813583374,3.930715560913086,2.9702868461608887,2.558234930038452,2.542520046234131,1.8923343420028687,3.2013356685638428,4.513010025024414,3.119696617126465,1.7131117582321167,1.4903390407562256,1.79358971118927,1.792306661605835
1970-01-03 13:34:26.947534,1,First Countdown,0.21319444477558136,0.16894206404685974,0.17294855415821075,0.19083347916603088,0.2044268548488617,0.2161746621131897,0.14537692070007324,0.15042859315872192,0.7610701322555542,0.8360256552696228,0.3049660623073578,0.5637173056602478,0.43278682231903076,0.383344441652298,0.4726935029029846,0.4841192066669464,1.7320733070373535,0.9866153001785278,0.47656601667404175,0.8152332901954651,1.0340523719787598,0.39830899238586426,0.6980112195014954,0.69557124376297,3.4558393955230713,3.3380043506622314,2.4146881103515625,3.7031097412109375,3.938232183456421,2.9794578552246094,2.59078311920166,2.558234930038452,1.870536208152771,3.2168631553649902,4.553054332733154,3.127192974090576,1.7466673851013184,1.5046732425689697,1.779581904411316,1.79358971118927
1970-01-03 13:34:26.957534,1,First Countdown,0.20435753464698792,0.16208457946777344,0.1659616231918335,0.17860665917396545,0.1967187225818634,0.21094851195812225,0.14068853855133057,0.14537692070007324,0.7387921214103699,0.8241841197013855,0.30173245072364807,0.5476617217063904,0.4246225357055664,0.39126265048980713,0.46276405453681946,0.4726935029029846,1.7388322353363037,0.982961118221283,0.46710214018821716,0.7976208329200745,1.0582594871520996,0.3920953571796417,0.7013368606567383,0.6980112195014954,3.421257734298706,3.405672073364258,2.3957462310791016,3.7833852767944336,3.948464870452881,2.9995458126068115,2.639655351638794,2.59078311920166,1.846866488456726,3.2199058532714844,4.59097957611084,3.1261885166168213,1.7648128271102905,1.516310214996338,1.7632925510406494,1.779581904411316
1970-01-03 13:34:26.976073,1,First Countdown,0.1976042240858078,0.15363308787345886,0.16168275475502014,0.16823050379753113,0.1915833204984665,0.20748625695705414,0.13793747127056122,0.14068853855133057,0.7151436805725098,0.8152832984924316,0.2944480776786804,0.5347558856010437,0.41642260551452637,0.402105450630188,0.4512723386287689,0.46276405453681946,1.739920735359192,0.9807159900665283,0.45364534854888916,0.7815542817115784,1.0799933671951294,0.38260942697525024,0.7007759809494019,0.7013368606567383,3.3922007083892822,3.4679722785949707,2.402635097503662,3.856503963470459,3.955476760864258,3.017977237701416,2.6910207271575928,2.639655351638794,1.8250006437301636,3.218688726425171,4.621685028076172,3.123293399810791,1.7778643369674683,1.5360385179519653,1.7388347387313843,1.7632925510406494
1970-01-03 13:34:26.986073,1,First Countdown,0.19861795008182526,0.15035340189933777,0.1604807823896408,0.16148516535758972,0.19095507264137268,0.2090783566236496,0.13305923342704773,0.13793747127056122,0.6926934719085693,0.8122767210006714,0.2866252362728119,0.5164065957069397,0.4088132381439209,0.4120294451713562,0.44294747710227966,0.4512723386287689,1.7405989170074463,0.9832330942153931,0.43386968970298767,0.7701136469841003,1.0992743968963623,0.3774932026863098,0.702998161315918,0.7007759809494019,3.3622989654541016,3.524735927581787,2.4809865951538086,3.918081760406494,3.963118553161621,3.0306642055511475,2.738614797592163,2.6910207271575928,1.8086153268814087,3.203134298324585,4.644161224365234,3.121028423309326,1.788994312286377,1.5510450601577759,1.7125849723815918,1.7388347387313843
